### Running wrk with 8 cores and 64 client threads, 128 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 74.24 Gbps
### Running wrk with 8 cores and 64 client threads, 256 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 70.48 Gbps
### Running wrk with 8 cores and 64 client threads, 512 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 65.68 Gbps
### Running wrk with 8 cores and 64 client threads, 1024 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 60.56 Gbps
### Running wrk with 8 cores and 128 client threads, 256 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 68.72 Gbps
### Running wrk with 8 cores and 128 client threads, 512 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 66.24 Gbps
### Running wrk with 8 cores and 128 client threads, 1024 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 58.64 Gbps
### Running wrk with 8 cores and 256 client threads, 512 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 65.04 Gbps
### Running wrk with 8 cores and 256 client threads, 1024 connections and 256KB value size for 8 seconds with mtu 4000
throughput: 58.64 Gbps
all done
